"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|spawners|effective spawning output","mass","weight"
"38","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",76,1,14,0,2,0,1,0,0,30,0,0,0,0,0,0,0,30,0,2,0,0,11,2,13
"39","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"40","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",13,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"41","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",10,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,8,0,0,0,0
"42","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"43","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
"44","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,8,0,0,0,1
"45","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0
"46","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",22,0,0,0,3,0,1,0,15,0,0,0,0,0,3,0,0,0,0,18,31,0,1,0,0
"47","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",20,0,1,0,0,0,0,0,14,0,0,0,0,0,5,0,0,1,0,29,40,0,1,0,0
"48","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"49","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",14,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,16,22,0,0,0,0
"50","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",123,2,10,0,7,1,1,0,336,0,0,0,0,0,5,0,0,2,0,93,101,0,15,0,66
"51","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",15,0,1,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,14,18,0,3,0,1
