"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"33","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",128,31,16,4,76,20,0,0,0,51,1,0,1,51,4,0,0,0,256,2,25,0,28,0,1,0,0,130,1,60,61,80,15,1382,0,11,12,0,0,8,0,20,82,5,0,0,3,14,0,0,0,29,1,7,18,4,4,0,4,14,0
"34","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",269,83,36,6,137,1,7,3,0,80,1,1,4,65,5,2,0,0,175,20,30,3,10,2,9,0,0,98,1,43,46,41,22,1544,0,11,11,0,0,4,1,45,19,3,0,0,3,9,2,0,2,3,0,12,1,11,6,0,6,15,1
"35","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",275,126,24,17,165,0,0,0,0,70,0,6,7,139,12,4,0,0,446,10,96,9,123,21,18,0,0,241,12,46,52,56,35,3255,0,12,21,0,0,9,0,18,60,1,0,0,2,29,2,0,13,11,8,21,31,45,0,0,0,18,0
"36","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",122,39,50,20,3,0,0,2,0,56,12,0,2,40,3,4,0,0,157,9,7,0,43,1,9,0,0,146,6,23,24,23,11,1429,0,3,5,0,0,1,0,28,12,0,0,0,0,13,0,0,3,4,0,25,15,1,4,0,4,1,1
"37","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",465,77,154,7,108,0,0,0,0,67,0,4,9,248,11,25,0,0,306,9,78,9,58,10,17,0,1,108,0,134,159,79,16,2169,0,15,18,0,0,16,1,38,71,0,0,0,0,22,1,0,14,9,4,8,24,44,0,0,0,15,0
"38","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",98,39,43,1,7,0,0,1,0,18,1,0,5,69,6,1,0,0,210,0,26,3,36,2,16,0,0,38,28,22,24,3,16,1177,0,7,5,0,0,0,0,15,45,7,0,0,2,7,0,0,3,10,0,36,1,7,0,0,0,3,1
"39","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",202,47,109,3,2,0,0,0,0,68,3,0,3,54,2,3,0,0,63,9,18,1,0,0,19,0,0,80,0,36,37,13,3,1250,0,4,12,0,0,0,0,19,31,7,1,0,0,15,1,1,6,10,0,64,1,1,5,0,5,0,2
"40","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",50,26,9,1,74,7,0,0,0,32,0,0,5,38,3,0,0,0,167,8,24,0,0,3,1,0,0,108,4,37,46,22,2,1306,0,4,14,0,0,0,0,23,17,19,0,0,1,4,2,0,0,0,2,6,0,2,4,0,4,8,0
"41","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",104,51,9,1,30,0,0,0,0,18,1,0,2,90,7,6,0,0,237,22,16,1,11,0,25,0,0,106,3,19,22,2,11,1301,0,3,4,0,0,0,0,10,65,0,0,0,2,11,0,0,0,4,0,8,0,7,1,0,1,9,1
"42","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",457,26,221,6,0,4,0,1,0,0,1,0,0,189,7,17,0,0,389,0,79,1,13,0,6,0,0,29,1,68,81,51,10,1872,0,11,1,0,0,3,2,55,0,1,0,0,1,15,0,0,5,48,0,1,7,1,2,0,2,27,0
"43","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",174,26,80,0,17,6,0,0,0,32,2,0,4,43,7,2,0,0,187,5,12,1,12,3,1,0,0,174,1,51,56,26,3,1264,0,2,12,0,0,0,0,24,20,13,0,0,1,9,4,0,0,0,1,6,0,14,0,0,0,6,0
