"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"47","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",0.33,0.01,0.13,0.18,0,0,0,0,0,0,0,0,0,0.1,0,0.03,0,0,0.09,0,0,0,0,0,0,0,0,0.06,0,0,0,0.11,0,0.55,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0
"48","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",0.18,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0,0.5,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",0.22,0.01,0.11,0.16,0,0,0,0,0,0,0,0,0,0.12,0,0.01,0,0,0.1,0,0,0,0,0,0,0,0,0.09,0,0,0,0.11,0,0.42,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"50","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",0.12,0.02,0.02,0.03,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0.08,0,0,0,0.01,0.01,0.44,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",0.21,0.03,0.1,0.13,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0.03,0.11,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0.79,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"52","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",0.2,0.02,0.12,0.17,0,0,0,0,0,0,0,0,0,0.07,0,0.01,0,0,0.06,0,0,0,0.1,0,0.01,0,0,0.14,0,0,0,0.14,0,0.54,0,0,0,0,0,0.07,0,0.01,0,0.02,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"53","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",0.19,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0.13,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0.55,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",0.16,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.02,0.32,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",0.03,0.01,0,0,0.02,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.06,0,0.01,0,0.01,0,0,0,0,0.03,0,0.01,0.01,0.02,0,0.31,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"56","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",0.08,0.03,0.01,0,0.04,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0.05,0.01,0.01,0,0,0,0,0,0,0.03,0,0.01,0.01,0.01,0.01,0.48,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
