"ID","Source","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"75","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",1.08,0.08,0.03,0.06,0.06,0.08,0.04,0,0,0.04,0.01,2.4,0.01,0.08,0.01,0,0,0,0,0
"76","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",1.05,0.1,0.01,0.02,0.02,0.14,0.14,0,0,0.01,0.01,1.98,0,0.02,0.02,0,0,0.01,0,0
"77","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",0.92,0.13,0.01,0.03,0.04,0.07,0.04,0,0,0.04,0,2.29,0.02,0.07,0.03,0,0.01,0,0,0
"78","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",1.23,0.18,0.04,0.02,0.02,0.19,0.05,0,0,0.05,0,1.65,0.02,0.05,0,0,0.01,0.01,0,0
"79","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",1,0,0,0,0,0.16,0.03,0,0,0,0.01,1.89,0,0.08,0,0,0.01,0,0,0
"80","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",1,0,0,0,0,0.18,0.05,0.04,0,0,0,2.03,0,0.07,0,0,0.06,0,0,0
"81","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",1.09,0.02,0.02,0.01,0.01,0.1,0.06,0.01,0,0.09,0.01,1.65,0.04,0.04,0,0,0.03,0.01,0,0
"82","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2020_ALB_ENG.pdf",1.58,0.01,0.01,0,0,0.08,0.11,0,0,0.07,0.03,1.54,0.03,0.07,0,0,0.02,0.01,0,0
"83","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2021_WBFT_SA_ENG.pdf",1.17,0.06,0.04,0.07,0.08,0.05,0.01,0,0,0,0.02,1.57,0,0.04,0.01,0,0.02,0,0.01,0
"84","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Atl_Blacknose_SAR.pdf",1.25,0.02,0.01,0,0.01,0.09,0.05,0.02,0,0.04,0,1.9,0.03,0.03,0,0,0.02,0,0,0
